id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1136758220077310914,Gorgeous 2 bed off Grafton St,430187374,Mark,,Dublin City,53.33924291057155,-6.257645157773037,Entire home/apt,270,14,37,2025-05-22,2.69,12,12,31,
1136795016198297521,Double ensuite room in Dublin,112209216,Kieran,,Dublin City,53.35949744997171,-6.286603850554104,Private room,,1,18,2025-03-18,1.29,2,0,11,
1136999870822098788,Cozy flat in Rathgar (Dublin 6),26940711,Angélica,,Dublin City,53.30815546649711,-6.271262365423512,Entire home/apt,,3,5,2024-09-29,0.43,1,0,5,
1137009597175976201,"New 1 bed 5 Star Apt , Superb City Centre Location",88139601,Peter,,Dublin City,53.339990905189666,-6.257069113397421,Entire home/apt,144,15,8,2025-05-03,0.78,9,184,8,
1137551378500300040,Inviting 2-Bed Apartment in Dublin,569978217,Travelnest,,Fingal,53.51906,-6.26574,Entire home/apt,,1,0,,,1,364,0,
1137643906358702873,Airport Ready Cozy Room!,113108724,Laura,,Fingal,53.47508069607376,-6.244998259950642,Private room,,1,0,,,1,0,0,
1137770251499927268,Cosy stay,51304966,Leea,,Dublin City,53.31442287643604,-6.309430460281604,Private room,62,2,51,2024-11-30,3.70,1,52,35,
1137811524133097140,Double Room Quiet South Dublin,226292284,Elena,,Dn Laoghaire-Rathdown,53.28644883842016,-6.211140442327889,Private room,72,2,8,2025-05-03,0.62,2,267,6,
1138044339376389251,Guestready - Enchanting 1BR Flat in Newmarket Hall,455903818,GuestReady,,Dublin City,53.33761832402029,-6.274867067480168,Entire home/apt,,1,15,2025-06-01,1.14,1,112,14,
1138224550172424307,City Centre Home Beside Historic Kilmainham Jail,31647310,Ciaran,,Dublin City,53.33895109876861,-6.30929176370884,Entire home/apt,208,3,12,2025-01-03,0.98,1,12,11,
1138299780449276086,Spacious room for short stay near the Airport,36808680,Ingrid,,Fingal,53.40341,-6.25821,Private room,80,1,2,2024-06-01,0.15,1,39,0,
1138436080791818456,Luxury Top floor penthouse apt,572265851,Mohamed,,Dn Laoghaire-Rathdown,53.25515,-6.20053,Entire home/apt,,14,3,2024-08-06,0.26,1,0,3,
1138652840275654864,Double Bedroom in Dublin11,206085882,Mehedi,,Dublin City,53.38191944934292,-6.320725314068031,Private room,47,3,5,2025-05-26,0.39,1,180,3,
1138915496690524494,Wibble's Ensuite Bedroom with Balcony,9648767,Adeline,,Dublin City,53.3376271,-6.293171999999999,Private room,,2,9,2024-10-13,0.89,1,0,9,
1138940792188374876,The Benson Two by Dublin At Home,162402361,Ian,,Dublin City,53.34503,-6.23417,Entire home/apt,,35,2,2024-08-24,0.17,84,271,2,
1138940955825029888,The Benson Two by Dublin At Home,162402361,Ian,,Dublin City,53.34503,-6.23417,Entire home/apt,244,35,3,2024-10-19,0.23,84,296,2,
1139078937906524039,Seaview House,202547040,Olivia,,Fingal,53.56582,-6.10086,Entire home/apt,,3,3,2024-08-18,0.24,1,0,2,
1139085605124687960,Small bedroom near the airport,518757962,Orlando,,Fingal,53.52697,-6.17893,Private room,60,1,106,2025-06-02,7.78,2,226,85,
1139092428605815847,Modern Dublin City Home,529445726,Heather,,Dublin City,53.3282015,-6.2877664,Entire home/apt,266,2,6,2025-05-03,0.48,1,121,5,
1139196531330729658,Comfortable Room with Private Bathroom,102382406,Michael,,Fingal,53.41822805024668,-6.144612953066826,Private room,100,2,11,2025-05-28,0.82,1,121,8,
1139243366028982922,Sweet Urban Retreat,500460908,Jianhua,,Dublin City,53.34460036847936,-6.276842840015888,Private room,60,7,30,2025-05-27,2.58,2,102,30,
1139766773598998873,Santa Caterina,430682811,Mel,,Fingal,53.37532,-6.05353,Entire home/apt,428,3,3,2024-10-18,0.27,1,229,3,
1139828021605390241,Dublin Hideaway,7824263,Stephen,,Dublin City,53.3758,-6.25865,Entire home/apt,400,1,4,2025-06-01,0.34,2,345,4,
1139844147317073281,Central apartment in Dublin 2!,149846576,Yasmina,,Dublin City,53.34517709083036,-6.238784765606697,Private room,128,3,0,,,1,257,0,
1139858346926344316,"Cozy Double Room - 4km to Airport, WiFi+Parking.",67613426,Gary,,Fingal,53.44235,-6.19662,Private room,53,2,42,2025-06-09,4.96,1,132,42,
1140422186986383903,"Port Hole. Dun Laoghaire, Co Dublin.",54857272,Annmarie,,Dn Laoghaire-Rathdown,53.29077,-6.12902,Private room,78,2,30,2025-06-06,2.30,1,145,27,
